for sid 0, the gid = A00BC
for sid 1, the gid = B01CD
for sid 2, the gid = C02DE
for sid 3, the gid = D03EF
for sid 4, the gid = E04FG
for sid 5, the gid = F05GH
for sid 6, the gid = G06HI
for sid 7, the gid = H07IJ
for sid 8, the gid = I08JK
for sid 9, the gid = J09KL
for sid 10, the gid = K10LM
for sid 11, the gid = L11MN
for sid 12, the gid = M12NO
for sid 13, the gid = N13OP
for sid 14, the gid = O14PQ
for sid 15, the gid = P15QR
for sid 16, the gid = Q16RS
for sid 17, the gid = R17ST
for sid 18, the gid = S18TU
for sid 19, the gid = T19UV
for sid 20, the gid = U20VW
for sid 21, the gid = V21WX
for sid 22, the gid = W22XY
for sid 23, the gid = X23YZ
for sid 24, the gid = Y24ZA
for sid 25, the gid = Z25AB
for sid 26, the gid = A26BC
for sid 27, the gid = B27CD
for sid 28, the gid = C28DE
for sid 29, the gid = D29EF
for sid 30, the gid = E30FG
for sid 31, the gid = F31GH
for sid 32, the gid = G32HI
for sid 33, the gid = H33IJ
for sid 34, the gid = I34JK
for sid 35, the gid = J35KL
for sid 36, the gid = K36LM
for sid 37, the gid = L37MN
for sid 38, the gid = M38NO
for sid 39, the gid = N39OP
for sid 40, the gid = O40PQ
for sid 41, the gid = P41QR
for sid 42, the gid = Q42RS
for sid 43, the gid = R43ST
for sid 44, the gid = S44TU
for sid 45, the gid = T45UV
for sid 46, the gid = U46VW
for sid 47, the gid = V47WX
for sid 48, the gid = W48XY
for sid 49, the gid = X49YZ
for sid 50, the gid = Y50ZA
for sid 51, the gid = Z51AB
for sid 52, the gid = A52BC
for sid 53, the gid = B53CD
for sid 54, the gid = C54DE
for sid 55, the gid = D55EF
for sid 56, the gid = E56FG
for sid 57, the gid = F57GH
for sid 58, the gid = G58HI
for sid 59, the gid = H59IJ
for sid 60, the gid = I60JK
for sid 61, the gid = J61KL
for sid 62, the gid = K62LM
for sid 63, the gid = L63MN
for sid 64, the gid = M64NO
for sid 65, the gid = N65OP
for sid 66, the gid = O66PQ
for sid 67, the gid = P67QR
for sid 68, the gid = Q68RS
for sid 69, the gid = R69ST
for sid 70, the gid = S70TU
for sid 71, the gid = T71UV
for sid 72, the gid = U72VW
for sid 73, the gid = V73WX
for sid 74, the gid = W74XY
for sid 75, the gid = X75YZ
for sid 76, the gid = Y76ZA
for sid 77, the gid = Z77AB
for sid 78, the gid = A78BC
for sid 79, the gid = B79CD
for sid 80, the gid = C80DE
for sid 81, the gid = D81EF
for sid 82, the gid = E82FG
for sid 83, the gid = F83GH
for sid 84, the gid = G84HI
for sid 85, the gid = H85IJ
for sid 86, the gid = I86JK
for sid 87, the gid = J87KL
for sid 88, the gid = K88LM
for sid 89, the gid = L89MN
for sid 90, the gid = M90NO
for sid 91, the gid = N91OP
for sid 92, the gid = O92PQ
for sid 93, the gid = P93QR
for sid 94, the gid = Q94RS
for sid 95, the gid = R95ST
for sid 96, the gid = S96TU
for sid 97, the gid = T97UV
for sid 98, the gid = U98VW
for sid 99, the gid = V99WX
